id;nome;genero_musical;bio;foto_perfil;ativo
1;in ick internalize;hm hm;../fake-data/blob/hipster.txt;delete;true
2;lest;sheepishly;../fake-data/blob/hipster.txt;how since acceptable;false
3;off whoever;given accredit quaintly;../fake-data/blob/hipster.txt;shyly selfishly deer;true
4;wherever;safe once fearless;../fake-data/blob/hipster.txt;who oh;true
5;moist below recklessly;seldom sheathe;../fake-data/blob/hipster.txt;eek presell;false
6;sell when;against;../fake-data/blob/hipster.txt;pfft where fervently;false
7;fooey vague whether;those yuck however;../fake-data/blob/hipster.txt;ah;true
8;gracefully;knowingly and;../fake-data/blob/hipster.txt;SUV under arcade;true
9;ha whereas woot;despite;../fake-data/blob/hipster.txt;too;true
10;utilization;popularize ligate;../fake-data/blob/hipster.txt;or crossly that;false
