id;local;data_show;horario_inicio;observacoes;status;cantor_id
1;fondly colligate yippee;MONDAY;2026-05-16T01:00:57;../fake-data/blob/hipster.txt;CONFIRMADO;1
2;hassle;TUESDAY;2026-05-15T21:47:08;../fake-data/blob/hipster.txt;AGENDADO;2
3;huzzah supposing interestingly;WEDNESDAY;2026-05-16T08:03:55;../fake-data/blob/hipster.txt;AGENDADO;3
4;when fuel;THURSDAY;2026-05-15T20:08:56;../fake-data/blob/hipster.txt;CONFIRMADO;4
5;rewarding quizzically too;FRIDAY;2026-05-15T14:09:11;../fake-data/blob/hipster.txt;CONFIRMADO;5
6;where;SATURDAY;2026-05-16T04:50:53;../fake-data/blob/hipster.txt;AGENDADO;6
7;fearless psst skeletal;SUNDAY;2026-05-16T10:30:38;../fake-data/blob/hipster.txt;CONFIRMADO;7
8;monthly;MONDAY;2026-05-15T19:47:37;../fake-data/blob/hipster.txt;CANCELADO;8
9;following less enormously;TUESDAY;2026-05-16T04:44:05;../fake-data/blob/hipster.txt;REALIZADO;9
10;vivaciously outlying;WEDNESDAY;2026-05-16T12:32:54;../fake-data/blob/hipster.txt;CANCELADO;10
